Crop,Date,Farming Method,Region,Season,Expected Profit,Profit,Revenue
Wheat,03-01-2024,Conventional,East,Kharif,50000,3339.38,13667.51
Maize,15-06-2023,Organic,West,Kharif,50000,57466.64,168912.72
Maize,03-11-2024,Hydroponic,East,Rabi,50000,35393.96,72192.5
Wheat,30-09-2024,Organic,East,Zaid,50000,46259.64,87113.59
Maize,03-12-2023,Hydroponic,West,Rabi,50000,21026.69,61291.06
Wheat,25-11-2024,Hydroponic,North,Zaid,50000,2196.47,9034.65
Sugarcane,15-09-2023,Organic,West,Kharif,50000,40270.87,115446.57
Wheat,18-09-2024,Mixed,South,Rabi,50000,8677.54,24486.1
Cotton,15-04-2023,Mixed,West,Kharif,50000,31790.29,124447.7
Maize,27-05-2024,Conventional,West,Zaid,50000,30695.08,66102.9
Rice,27-04-2023,Hydroponic,South,Kharif,50000,11157.01,46114.53
Maize,18-09-2024,Conventional,West,Rabi,50000,50278.92,188086.85
Maize,18-11-2023,Organic,South,Rabi,50000,6224.88,23485.95
Cotton,18-08-2024,Conventional,North,Kharif,50000,38005.76,131684.51
Maize,11-03-2023,Mixed,East,Kharif,50000,71542.71,136995.01
Wheat,19-12-2023,Organic,North,Rabi,50000,98662.28,177327.78
Sugarcane,11-07-2024,Mixed,South,Zaid,50000,13672.38,31945.19
Cotton,28-05-2023,Conventional,East,Zaid,50000,70792.93,144467.21
Rice,28-08-2024,Organic,North,Zaid,50000,3284.04,6801.18
Sugarcane,23-09-2024,Conventional,West,Zaid,50000,75276.2,154380.72
Rice,07-09-2023,Hydroponic,South,Zaid,50000,25726.74,82657.04
Cotton,05-10-2023,Mixed,North,Kharif,50000,10927.47,27440.12
Cotton,12-11-2023,Mixed,West,Kharif,50000,16923.64,32954.01
Sugarcane,05-02-2023,Mixed,West,Zaid,50000,17275.84,81344.68
Wheat,01-07-2024,Conventional,East,Kharif,50000,61290.78,158509.8
Maize,09-11-2023,Hydroponic,North,Zaid,50000,57153.46,163163.67
Cotton,09-09-2023,Hydroponic,East,Zaid,50000,16282.01,53917.17
Sugarcane,23-12-2023,Conventional,West,Rabi,50000,15715.93,63181.21
Rice,31-03-2024,Mixed,East,Kharif,50000,87862.51,167229.29
Rice,05-01-2024,Organic,South,Kharif,50000,32896.58,91964.17
Rice,27-10-2023,Hydroponic,South,Zaid,50000,14859.83,38604.75
Maize,14-05-2023,Mixed,East,Rabi,50000,10930.19,22850.85
Sugarcane,21-04-2024,Mixed,East,Zaid,50000,11375.07,24375.28
Cotton,10-10-2023,Hydroponic,South,Zaid,50000,9665.62,35040.88
Cotton,26-09-2023,Conventional,North,Rabi,50000,10255.78,26995.22
Sugarcane,15-01-2023,Mixed,South,Kharif,50000,50639.81,86803.18
Rice,29-07-2024,Conventional,North,Zaid,50000,6135.96,28523.64
Maize,20-07-2024,Mixed,West,Zaid,50000,106815.85,185654.51
Cotton,29-11-2024,Mixed,West,Zaid,50000,27788.23,57563.84
Cotton,03-10-2024,Organic,South,Zaid,50000,22241.65,54279.69
Wheat,13-05-2023,Hydroponic,East,Rabi,50000,51346.36,106582.6
Rice,13-08-2023,Mixed,West,Kharif,50000,13229.6,23702.16
Rice,13-05-2024,Mixed,West,Zaid,50000,101591.91,196331.56
Maize,21-04-2024,Hydroponic,South,Rabi,50000,11012.52,54801.19
Wheat,21-12-2023,Mixed,East,Kharif,50000,31417.43,56890.15
Maize,03-05-2023,Hydroponic,South,Rabi,50000,7593.87,19081.66
Rice,03-11-2024,Organic,South,Zaid,50000,103107.42,217202.57
Wheat,03-03-2023,Conventional,West,Kharif,50000,36977.39,93914.36
Maize,17-03-2023,Mixed,East,Rabi,50000,6653.83,18793.42
Cotton,09-02-2023,Hydroponic,West,Rabi,50000,22084.01,83045.23
Sugarcane,18-12-2024,Conventional,South,Zaid,50000,6691.74,24994.64
Cotton,13-08-2024,Organic,East,Rabi,50000,4083.12,7005.7
Maize,31-08-2024,Conventional,West,Kharif,50000,20053.67,41134.05
Rice,07-04-2023,Mixed,South,Kharif,50000,43773.35,74980.87
Rice,28-10-2024,Organic,North,Kharif,50000,84884.33,185908.98
Maize,30-07-2024,Mixed,North,Rabi,50000,75241.12,128761.44
Cotton,17-07-2023,Conventional,South,Kharif,50000,16538.58,35000.98
Sugarcane,25-12-2023,Conventional,North,Zaid,50000,83126.81,169348.42
Maize,04-12-2024,Organic,South,Kharif,50000,28099.56,80500.14
Maize,09-06-2024,Organic,East,Rabi,50000,23649.03,53250.6
Sugarcane,04-10-2023,Mixed,North,Zaid,50000,17592.45,70718.9
Maize,03-09-2023,Organic,North,Rabi,50000,9235.73,30331.25
Wheat,30-09-2023,Mixed,North,Kharif,50000,24977.19,54571.08
Wheat,25-02-2024,Hydroponic,North,Rabi,50000,9187.85,32469.46
Cotton,21-05-2023,Conventional,West,Kharif,50000,3536.23,15515.07
Wheat,09-02-2023,Organic,West,Rabi,50000,16212.78,68328.1
Sugarcane,21-02-2024,Hydroponic,North,Zaid,50000,59778.16,119869.89
Wheat,12-04-2024,Hydroponic,West,Kharif,50000,59024.36,99574.92
Cotton,29-03-2023,Mixed,East,Zaid,50000,5793.94,14972.86
Cotton,18-01-2023,Hydroponic,East,Zaid,50000,77654.25,189098.01
Sugarcane,27-12-2023,Conventional,North,Zaid,50000,5360.57,15392.24
Rice,06-02-2023,Mixed,East,Kharif,50000,35132.31,64275.8
Maize,06-08-2023,Hydroponic,South,Zaid,50000,5094.88,18151.88
Maize,19-07-2024,Hydroponic,East,Zaid,50000,19063.8,59680.28
Maize,21-08-2024,Hydroponic,South,Rabi,50000,39982.87,69446.18
Wheat,02-04-2024,Conventional,North,Kharif,50000,48398.37,128136.68
Maize,20-11-2023,Conventional,West,Rabi,50000,51460.18,125967.95
Cotton,08-06-2024,Hydroponic,North,Kharif,50000,36058.13,124498.05
Rice,11-09-2024,Organic,North,Zaid,50000,27969.64,130995.23
Cotton,26-09-2024,Conventional,West,Rabi,50000,22277.47,52821.52
Maize,12-06-2023,Mixed,East,Zaid,50000,78660.3,166311.15
Maize,05-09-2023,Hydroponic,West,Rabi,50000,38675.69,113205.69
Rice,25-02-2024,Conventional,West,Rabi,50000,50773.42,129684.06
Sugarcane,20-08-2024,Organic,South,Kharif,50000,64485.45,132451.56
Sugarcane,01-05-2024,Organic,East,Zaid,50000,3258.81,15366.56
Wheat,09-01-2024,Organic,North,Zaid,50000,38142.27,90676.4
Sugarcane,04-12-2023,Hydroponic,West,Kharif,50000,29708.39,59397.25
Wheat,06-05-2024,Mixed,West,Rabi,50000,66280.84,200969.62
Cotton,14-07-2024,Organic,North,Zaid,50000,3887.65,9861.93
Cotton,23-01-2023,Hydroponic,West,Kharif,50000,127267.8,217897.38
Cotton,18-03-2023,Hydroponic,South,Rabi,50000,57492.1,189899.38
Cotton,15-02-2023,Organic,West,Rabi,50000,92581.98,169002.17
Rice,19-06-2023,Hydroponic,East,Rabi,50000,19740.2,78334.21
Cotton,18-02-2024,Conventional,North,Rabi,50000,20446.69,56226.1
Wheat,02-06-2023,Mixed,East,Rabi,50000,40128.5,113650.04
Cotton,31-10-2023,Conventional,West,Zaid,50000,4909.7,9303.58
Sugarcane,14-02-2024,Hydroponic,East,Kharif,50000,78809.98,132556.81
Rice,08-05-2023,Hydroponic,South,Rabi,50000,69528.23,150903.1
Wheat,14-03-2023,Organic,North,Rabi,50000,18875.46,36884.12
Cotton,12-03-2023,Organic,North,Kharif,50000,62225.29,112046.52
Wheat,28-01-2023,Conventional,North,Rabi,50000,80010.14,169016.87
Cotton,01-12-2023,Organic,East,Rabi,50000,37450.13,129819.97
Wheat,20-10-2023,Hydroponic,South,Zaid,50000,12883.52,21858.36
Rice,17-12-2024,Conventional,West,Rabi,50000,50988.67,112580.22
Sugarcane,18-06-2023,Hydroponic,East,Kharif,50000,22529.31,106543.42
Rice,02-08-2024,Conventional,South,Rabi,50000,21925.15,68405.26
Rice,30-11-2024,Conventional,East,Zaid,50000,26627.14,76576.98
Sugarcane,27-11-2024,Hydroponic,North,Rabi,50000,15621.32,43733.02
Maize,09-04-2023,Organic,South,Zaid,50000,23463.89,61594.98
Maize,05-12-2023,Organic,North,Zaid,50000,7165.53,16946.72
Wheat,17-03-2023,Conventional,West,Kharif,50000,6314.88,18333.62
Maize,19-07-2024,Conventional,West,Kharif,50000,7038.65,22448.29
Wheat,02-12-2023,Hydroponic,West,Rabi,50000,104865.9,183822.68
Rice,16-11-2024,Organic,East,Kharif,50000,75588.74,180315.83
Sugarcane,29-09-2023,Conventional,South,Kharif,50000,16126.81,52205.18
Sugarcane,07-06-2024,Organic,East,Kharif,50000,66675.59,151956.37
Maize,11-03-2024,Mixed,West,Rabi,50000,27073.53,60601.41
Rice,06-03-2023,Conventional,West,Rabi,50000,31623.13,76172.99
Maize,28-12-2024,Organic,West,Zaid,50000,4143.38,11805.51
